TL, f1, f2, f3
80, -0.161161, -38.638866, -93.421303
79, -0.16114, -38.637814, -92.742104
78, -0.161164, -38.638988, -93.584641
77, -0.161144, -38.636978, -92.84156
76, -0.161167, -38.64024, -93.84053
75, -0.161145, -38.637657, -92.888481
74, -0.161168, -38.639763, -93.94413
73, -0.16115, -38.638573, -93.046021
72, -0.167025, -32.622437, -72.995537
71, -0.167042, -32.622082, -72.96727
70, -0.167029, -32.622528, -72.99485
69, -0.167041, -32.622189, -72.95295
68, -0.167032, -32.622051, -72.996407
67, -0.176827, -29.101086, -64.814552
66, -0.176826, -29.101652, -64.76812
65, -0.176828, -29.100712, -64.822685
64, -0.190587, -26.60714, -59.68861
63, -0.190584, -26.608192, -59.6236
62, -0.19059, -26.607046, -59.683044
61, -0.20828, -24.670528, -55.635517
60, -0.208342, -24.671288, -55.63406
59, -0.229996, -23.091993, -52.38863
58, -0.229989, -23.093008, -52.409355
57, -0.255631, -21.760601, -49.682861
56, -0.285338, -20.606663, -47.320763
55, -0.285406, -20.607897, -47.328209
54, -0.318536, -19.595263, -45.086945
53, -0.357082, -18.679121, -43.492657
52, -0.398752, -17.867485, -41.754612
51, -0.444715, -17.117561, -40.312679
50, -0.494447, -16.437616, -38.889317
49, -0.548967, -15.804295, -37.633083
48, -0.671079, -14.669351, -35.306225
47, -0.737767, -14.160267, -34.283607
46, -0.886034, -13.224856, -32.383549
45, -0.967834, -12.794017, -31.510691
44, -1.143264, -12.004368, -29.899126
43, -1.338651, -11.2887, -28.441412
42, -1.554806, -10.636735, -27.101473
41, -1.918357, -9.761956, -25.297161
40, -2.334869, -8.985777, -23.680733
39, -2.643515, -8.518763, -22.712719
38, -3.344405, -7.679902, -20.927839
37, -3.951794, -7.125044, -19.741957
36, -4.889522, -6.472269, -18.316757
35, -6.008008, -5.902387, -17.047928
34, -7.358186, -5.404835, -15.920263
33, -9.501195, -4.873245, -14.681489
32, -13.210363, -4.353455, -13.406559
31, -18.445768, -4.00754, -12.502194
30, -34.340836, -3.643905, -11.446703
29, -17.310099, -3.433201, -10.726762
28, -10.875854, -3.289951, -10.008212
27, -7.452802, -3.29557, -9.558835
26, -5.029704, -3.47207, -9.368503
25, -3.316825, -3.879538, -9.569824
24, -2.211412, -4.596684, -10.374557
23, -1.727053, -5.618557, -11.976027
22, -1.845814, -7.289022, -15.605786
21, -2.715272, -9.602299, -24.826387
20, -5.038981, -13.842873, -20.445616
19, -9.681917, -21.71834, -12.020602
18, -28.78207, -29.39938, -7.857548
17, -11.918901, -18.234571, -5.764603
16, -6.044099, -15.1623, -5.239127
15, -4.502129, -15.2407, -6.752332
14, -6.018602, -18.30776, -12.14433
13, -13.232403, -28.483648, -26.271086
12, -15.048406, -25.847111, -9.356818
11, -6.870941, -20.353765, -6.846158
10, -7.150178, -22.198568, -10.428006
9, -20.964985, -41.359146, -23.648664
8, -9.549159, -25.184072, -8.600634
7, -8.203603, -25.443861, -10.591339
6, -32.742065, -43.499161, -18.476622
5, -8.340343, -26.684011, -9.003572
4, -20.808746, -42.143307, -43.111732
3, -9.198002, -29.05629, -9.714084
2, -38.462978, -62.448586, -26.273899
1, -10.138749, -31.71929, -11.493672
0, -12.846652, -34.897038, -12.456148
