level, f1, f2, f3
-54.25	-0.078977, -38.595375, -83.279808
-53.50, -0.079341, -37.845524, -81.781143
-52.75, -0.079776, -37.096157, -80.298271
-52.00, -0.08029, -36.345535, -78.787582
-51.25, -0.080903, -35.595573, -77.293236
-50.50, -0.08163, -34.846504, -75.798637
-49.75, -0.082493, -34.096378, -74.288124
-49.00, -0.083521, -33.346336, -72.789833
-48.25, -0.084742, -32.596966, -71.291359
-47.50, -0.086195, -31.846872, -69.793381
-46.75, -0.08792, -31.09737, -68.291481
-46.00, -0.089971, -30.348166, -66.795273
-45.25, -0.092408, -29.598463, -65.292679
-44.50, -0.095308, -28.848951, -63.795753
-43.75, -0.098752, -28.100069, -62.297123
-43.00, -0.102847, -27.350922, -60.797207
-42.25, -0.107718, -26.601765, -59.298443
-41.50, -0.113506, -25.85331, -57.800919
-40.75, -0.12039, -25.104635, -56.301453
-40.00, -0.128578, -24.356422, -54.804073
-39.25, -0.138312, -23.608786, -53.30772
-38.50, -0.14989, -22.861261, -51.809898
-37.75, -0.163667, -22.114233, -50.313595
-37.00, -0.180056, -21.367949, -48.818497
-36.25, -0.199561, -20.622196, -47.323578
-35.50, -0.222779, -19.877285, -45.829975
-34.75, -0.250423, -19.133453, -44.338078
-34.00, -0.283352, -18.390615, -42.846687
-33.25, -0.322594, -17.649164, -41.357494
-32.50, -0.369373, -16.90947, -39.870564
-31.75, -0.425184, -16.171595, -38.385647
-31.00, -0.491818, -15.435969, -36.90353
-30.25, -0.571429, -14.703173, -35.425102
-29.50, -0.666668, -13.973559, -33.9506
-28.75, -0.780736, -13.247828, -32.48103
-28.00, -0.917566, -12.526749, -31.017452
-27.25, -1.082033, -11.811073, -29.56041
-26.50, -1.28018, -11.10192, -28.111647
-25.75, -1.519582, -10.400571, -26.672859
-25.00, -1.809908, -9.708446, -25.245607
-24.25, -2.163588, -9.02736, -23.83238
-23.50, -2.596939, -8.35948, -22.436047
-22.75, -3.131965, -7.707301, -21.059578
-22.00, -3.799093, -7.073936, -19.707241
-21.25, -4.642185, -6.463099, -18.383982
-20.50, -5.728031, -5.879229, -17.095528
-19.75, -7.165914, -5.327755, -15.849251
-19.00, -9.155191, -4.815258, -14.654325
-18.25, -12.128712, -4.34977, -13.521868
-17.50, -17.392296, -3.941179, -12.466055
-16.75, -38.680599, -3.601685, -11.505121
-16.00, -18.332764, -3.346597, -10.662466
-15.25, -11.680142, -3.195208, -9.969507
-14.50, -7.910511, -3.172272, -9.469315
-13.75, -5.361465, -3.310272, -9.223416
-13.00, -3.568373, -3.652773, -9.325375
-12.25, -2.365416, -4.26044, -9.929902
-11.50, -1.71355, -5.222274, -11.328953
-10.75, -1.660522, -6.678234, -14.214122
-10.00, -2.355203, -8.8748, -21.295998
-9.25, -4.138034, -12.33479, -25.640274
-8.50, -7.91551, -18.663313, -13.511436
-7.75, -18.258018, -49.4646, -8.618144
-7.00, -14.901701, -19.725155, -6.017083
-6.25, -7.07761, -15.555313, -5.046222
-5.50, -4.578522, -14.830832, -5.870429
-4.75, -5.112264, -16.883537, -9.688152
-4.00, -9.988461, -23.87335, -27.952116
-3.25, -24.87781, -31.408537, -11.457397
-2.50, -8.046344, -20.961073, -6.880015
-1.75, -6.2358, -20.766676, -8.285015
-1.00, -12.854924, -29.548822, -24.360207
-0.25, -13.262316, -27.969612, -10.245859
0.50, -7.265411, -23.952518, -8.459065
1.25, -16.916494, -36.14994, -31.119532
2.00, -9.787289, -27.583872, -9.286922
2.75, -11.564094, -31.033579, -14.943151
3.50, -11.777747, -31.010378, -10.937534
4.25, -13.328378, -34.320492, -16.692362
5.00, -10.191838, -31.22003, -10.360318
5.75, -35.836308, -52.606777, -23.948019
